"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex"
"70","Torgersen",42.8,18.5,195,4250,"MALE"
"71","Torgersen",40.9,16.8,191,3700,"FEMALE"
"72","Torgersen",37.2,19.4,184,3900,"MALE"
"73","Torgersen",36.2,16.1,187,3550,"FEMALE"
"74","Torgersen",42.1,19.1,195,4000,"MALE"
"75","Torgersen",34.6,17.2,189,3200,"FEMALE"
"76","Torgersen",42.9,17.6,196,4700,"MALE"
"77","Torgersen",36.7,18.8,187,3800,"FEMALE"
"78","Torgersen",35.1,19.4,193,4200,"MALE"
"79","Dream",37.3,17.8,191,3350,"FEMALE"
"80","Dream",41.3,20.3,194,3550,"MALE"
"81","Dream",36.3,19.5,190,3800,"MALE"
"82","Dream",36.9,18.6,189,3500,"FEMALE"
"83","Dream",38.3,19.2,189,3950,"MALE"
"84","Dream",38.9,18.8,190,3600,"FEMALE"
"85","Dream",35.7,18,202,3550,"FEMALE"
"86","Dream",41.1,18.1,205,4300,"MALE"
"87","Dream",34,17.1,185,3400,"FEMALE"
"88","Dream",39.6,18.1,186,4450,"MALE"
"89","Dream",36.2,17.3,187,3300,"FEMALE"
"90","Dream",40.8,18.9,208,4300,"MALE"
"91","Dream",38.1,18.6,190,3700,"FEMALE"
"92","Dream",40.3,18.5,196,4350,"MALE"
"93","Dream",33.1,16.1,178,2900,"FEMALE"
"94","Dream",43.2,18.5,192,4100,"MALE"
"95","Biscoe",35,17.9,192,3725,"FEMALE"
"96","Biscoe",41,20,203,4725,"MALE"
"97","Biscoe",37.7,16,183,3075,"FEMALE"
"98","Biscoe",37.8,20,190,4250,"MALE"
"99","Biscoe",37.9,18.6,193,2925,"FEMALE"
"100","Biscoe",39.7,18.9,184,3550,"MALE"
"101","Biscoe",38.6,17.2,199,3750,"FEMALE"
"102","Biscoe",38.2,20,190,3900,"MALE"
"103","Biscoe",38.1,17,181,3175,"FEMALE"
"104","Biscoe",43.2,19,197,4775,"MALE"
"105","Biscoe",38.1,16.5,198,3825,"FEMALE"
"106","Biscoe",45.6,20.3,191,4600,"MALE"
"107","Biscoe",39.7,17.7,193,3200,"FEMALE"
"108","Biscoe",42.2,19.5,197,4275,"MALE"
"109","Biscoe",39.6,20.7,191,3900,"FEMALE"
"110","Biscoe",42.7,18.3,196,4075,"MALE"
"111","Torgersen",38.6,17,188,2900,"FEMALE"
"112","Torgersen",37.3,20.5,199,3775,"MALE"
"113","Torgersen",35.7,17,189,3350,"FEMALE"
"114","Torgersen",41.1,18.6,189,3325,"MALE"
"115","Torgersen",36.2,17.2,187,3150,"FEMALE"
"116","Torgersen",37.7,19.8,198,3500,"MALE"
"117","Torgersen",40.2,17,176,3450,"FEMALE"
"118","Torgersen",41.4,18.5,202,3875,"MALE"
"119","Torgersen",35.2,15.9,186,3050,"FEMALE"
"120","Torgersen",40.6,19,199,4000,"MALE"
"121","Torgersen",38.8,17.6,191,3275,"FEMALE"
"122","Torgersen",41.5,18.3,195,4300,"MALE"
"123","Torgersen",39,17.1,191,3050,"FEMALE"
"124","Torgersen",44.1,18,210,4000,"MALE"
"125","Torgersen",38.5,17.9,190,3325,"FEMALE"
"126","Torgersen",43.1,19.2,197,3500,"MALE"
"127","Dream",36.8,18.5,193,3500,"FEMALE"
"128","Dream",37.5,18.5,199,4475,"MALE"
"129","Dream",38.1,17.6,187,3425,"FEMALE"
"130","Dream",41.1,17.5,190,3900,"MALE"
"131","Dream",35.6,17.5,191,3175,"FEMALE"
"132","Dream",40.2,20.1,200,3975,"MALE"
"133","Dream",37,16.5,185,3400,"FEMALE"
"134","Dream",39.7,17.9,193,4250,"MALE"
"135","Dream",40.2,17.1,193,3400,"FEMALE"
"136","Dream",40.6,17.2,187,3475,"MALE"
"137","Dream",32.1,15.5,188,3050,"FEMALE"
"138","Dream",40.7,17,190,3725,"MALE"
"139","Dream",37.3,16.8,192,3000,"FEMALE"
"140","Dream",39,18.7,185,3650,"MALE"
"141","Dream",39.2,18.6,190,4250,"MALE"
"142","Dream",36.6,18.4,184,3475,"FEMALE"
"143","Dream",36,17.8,195,3450,"FEMALE"
"144","Dream",37.8,18.1,193,3750,"MALE"
"145","Dream",36,17.1,187,3700,"FEMALE"
"146","Dream",41.5,18.5,201,4000,"MALE"
