"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species","art_predictions","sex_predictions"
"72","Torgersen",35.5,16.4,194,3112.5,"FEMALE","Adelie","Adelie","FEMALE"
"73","Biscoe",36.35,17.5,188.5,3425,"FEMALE","Adelie","Adelie","FEMALE"
"74","Torgersen",34.95,17,184,3062.5,"FEMALE","Adelie","Adelie","FEMALE"
"75","Biscoe",37.6,17.15,187.5,3637.5,"FEMALE","Adelie","Adelie","FEMALE"
"76","Torgersen",36.7,17.95,190.5,3550,"FEMALE","Adelie","Adelie","FEMALE"
"77","Torgersen",36.25,17.3,189,3037.5,"FEMALE","Adelie","Adelie","FEMALE"
"78","Biscoe",37.8,17.65,184,3500,"FEMALE","Adelie","Adelie","FEMALE"
"79","Biscoe",36.6,17.9,190,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"80","Torgersen",35.8,17.3,185.5,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"81","Dream",39.05,17.35,185,3362.5,"FEMALE","Adelie","Adelie","FEMALE"
"82","Dream",38.1,18.85,187,3300,"FEMALE","Adelie","Adelie","FEMALE"
"83","Biscoe",36.25,17.55,192,3400,"FEMALE","Adelie","Adelie","FEMALE"
"84","Dream",37.6,18.35,185.5,3462.5,"FEMALE","Adelie","Adelie","FEMALE"
"85","Dream",37.75,18,187,3450,"FEMALE","Adelie","Adelie","FEMALE"
"86","Torgersen",36.9,17.25,190,3087.5,"FEMALE","Adelie","Adelie","FEMALE"
"87","Dream",38.6,17.8,189,3375,"FEMALE","Adelie","Adelie","FEMALE"
"88","Biscoe",38.2,18.1,187,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"89","Biscoe",38.6,19.35,191,3575,"FEMALE","Adelie","Adelie","MALE"
"90","Biscoe",37.8,17.5,188,3425,"FEMALE","Adelie","Adelie","FEMALE"
"91","Torgersen",39.9,19.25,187,3375,"FEMALE","Adelie","Adelie","FEMALE"
"92","Dream",35.65,18,180.5,3037.5,"FEMALE","Adelie","Adelie","FEMALE"
"93","Biscoe",37.05,18.4,189.5,3412.5,"FEMALE","Adelie","Adelie","FEMALE"
"94","Dream",36.3,17.9,183.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"95","Biscoe",35.5,18,193.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"96","Torgersen",34.95,17.6,194,3637.5,"FEMALE","Adelie","Adelie","FEMALE"
"97","Torgersen",38.15,18.1,184.5,3675,"FEMALE","Adelie","Adelie","FEMALE"
"98","Biscoe",37.4,16.4,190,3500,"FEMALE","Adelie","Adelie","FEMALE"
"99","Torgersen",36.45,16.95,195,3300,"FEMALE","Adelie","Adelie","FEMALE"
"100","Torgersen",38.5,18.1,187,3575,"FEMALE","Adelie","Adelie","FEMALE"
"101","Dream",37.1,17.1,187.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"102","Dream",38.8,17.7,189,3425,"FEMALE","Adelie","Adelie","FEMALE"
"103","Torgersen",36.45,17.4,179.5,3400,"FEMALE","Adelie","Adelie","FEMALE"
"104","Dream",36.9,17.4,192.5,3350,"FEMALE","Adelie","Adelie","FEMALE"
"105","Torgersen",38.4,18.25,183.5,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"106","Dream",36.6,18.55,186,3000,"FEMALE","Adelie","Adelie","FEMALE"
"107","Biscoe",36.55,16.55,187.5,3350,"FEMALE","Adelie","Adelie","FEMALE"
"108","Torgersen",38.2,18.3,189,3350,"FEMALE","Adelie","Adelie","FEMALE"
"109","Dream",39.55,18.1,188.5,3237.5,"FEMALE","Adelie","Adelie","FEMALE"
"110","Biscoe",38.2,17.15,187.5,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"111","Biscoe",37.85,19.15,191,3387.5,"FEMALE","Adelie","Adelie","MALE"
"112","Biscoe",36.3,18.15,187.5,3725,"FEMALE","Adelie","Adelie","FEMALE"
"113","Torgersen",37.95,18.2,191,3625,"FEMALE","Adelie","Adelie","FEMALE"
"114","Torgersen",37.95,17.5,184.5,3425,"FEMALE","Adelie","Adelie","FEMALE"
"115","Biscoe",34.95,17.5,180.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"116","Dream",36.65,18,186.5,3187.5,"FEMALE","Adelie","Adelie","FEMALE"
"117","Torgersen",37.45,17.6,194.5,3175,"FEMALE","Adelie","Adelie","FEMALE"
"118","Torgersen",36.2,17.55,191.5,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"119","Biscoe",38.7,17.25,186,3025,"FEMALE","Adelie","Adelie","FEMALE"
"120","Torgersen",35.3,17.95,179.5,3175,"FEMALE","Adelie","Adelie","FEMALE"
"121","Biscoe",38.4,17.3,189.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"122","Biscoe",37.95,17.2,186.5,3150,"FEMALE","Adelie","Adelie","FEMALE"
"123","Torgersen",38.1,16.45,190,3000,"FEMALE","Adelie","Adelie","FEMALE"
"124","Torgersen",33.9,17.45,184.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"125","Torgersen",36.25,18.05,179.5,3412.5,"FEMALE","Adelie","Adelie","FEMALE"
"126","Torgersen",38,18.2,183.5,3225,"FEMALE","Adelie","Adelie","FEMALE"
"127","Dream",35.65,17.2,185,3187.5,"FEMALE","Adelie","Adelie","FEMALE"
"128","Torgersen",39.5,16.6,182,3500,"FEMALE","Adelie","Adelie","FEMALE"
"129","Biscoe",38.2,17.75,188,3350,"FEMALE","Adelie","Adelie","FEMALE"
"130","Dream",36.35,17.3,186.5,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"131","Biscoe",37.2,17.65,184.5,3175,"FEMALE","Adelie","Adelie","FEMALE"
"132","Torgersen",35.85,17.25,182.5,3550,"FEMALE","Adelie","Adelie","FEMALE"
"133","Dream",36.7,16.95,187,2925,"FEMALE","Adelie","Adelie","FEMALE"
"134","Torgersen",36.45,17.6,186,3625,"FEMALE","Adelie","Adelie","FEMALE"
"135","Biscoe",37.7,17.7,187,3700,"FEMALE","Adelie","Adelie","FEMALE"
"136","Dream",35.15,18.05,185.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"137","Biscoe",38.15,18.15,190,3212.5,"FEMALE","Adelie","Adelie","FEMALE"
"138","Biscoe",36.9,17,185.5,3525,"FEMALE","Adelie","Adelie","FEMALE"
"139","Dream",38.65,17.5,190.5,3075,"FEMALE","Adelie","Adelie","FEMALE"
"140","Biscoe",37.8,17.25,189,3375,"FEMALE","Adelie","Adelie","FEMALE"
"141","Dream",38.95,17.2,189.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"142","Torgersen",36.05,17.3,189.5,3612.5,"FEMALE","Adelie","Adelie","FEMALE"
"143","Torgersen",39.6,18.35,188.5,3500,"FEMALE","Adelie","Adelie","FEMALE"
"144","Torgersen",38.2,17.95,184,3325,"FEMALE","Adelie","Adelie","FEMALE"
"145","Torgersen",37.45,17.1,187,3625,"FEMALE","Adelie","Adelie","FEMALE"
"146","Dream",39.1,16.85,186,3425,"FEMALE","Adelie","Adelie","FEMALE"
"147","Dream",39.2,16.4,190,3250,"FEMALE","Adelie","Adelie","FEMALE"
"148","Torgersen",38.5,17.6,192.5,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"149","Biscoe",36,16.3,185,3450,"FEMALE","Adelie","Adelie","FEMALE"
"150","Dream",35.05,16.5,194.5,3550,"FEMALE","Adelie","Adelie","FEMALE"
"151","Biscoe",36.25,16.15,188.5,3612.5,"FEMALE","Adelie","Adelie","FEMALE"
"152","Biscoe",38.55,17,188.5,3300,"FEMALE","Adelie","Adelie","FEMALE"
"153","Dream",37.35,17.2,193,3250,"FEMALE","Adelie","Adelie","FEMALE"
"154","Torgersen",37.6,17.05,191,3625,"FEMALE","Adelie","Adelie","FEMALE"
"155","Biscoe",34.15,17.4,194,3100,"FEMALE","Adelie","Adelie","FEMALE"
"156","Torgersen",36.65,16.95,184.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"157","Biscoe",37.9,16.8,192,3237.5,"FEMALE","Adelie","Adelie","FEMALE"
"158","Dream",35.65,17.1,181.5,3525,"FEMALE","Adelie","Adelie","FEMALE"
"159","Torgersen",37.55,19,190.5,3400,"FEMALE","Adelie","Adelie","FEMALE"
"160","Torgersen",35.05,16.4,184,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"161","Dream",37.95,16.65,181,3100,"FEMALE","Adelie","Adelie","FEMALE"
"162","Torgersen",40.4,16.9,190,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"163","Dream",34.85,16.85,185.5,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"164","Biscoe",36.1,18.7,191,3350,"FEMALE","Adelie","Adelie","FEMALE"
"165","Torgersen",35.5,18,189.5,3500,"FEMALE","Adelie","Adelie","FEMALE"
"166","Dream",38.4,18.95,187.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"167","Torgersen",38.5,16.9,189,2950,"FEMALE","Adelie","Adelie","FEMALE"
"168","Torgersen",37.35,16.8,195,3350,"FEMALE","Adelie","Adelie","FEMALE"
"169","Biscoe",38.05,16.55,189,3275,"FEMALE","Adelie","Adelie","FEMALE"
"170","Dream",37.85,18.6,195,3725,"FEMALE","Adelie","Adelie","MALE"
"171","Dream",37,16.75,191,3662.5,"FEMALE","Adelie","Adelie","FEMALE"
"172","Biscoe",37.35,16.9,186,3175,"FEMALE","Adelie","Adelie","FEMALE"
"173","Dream",37.15,17.5,197,3437.5,"FEMALE","Adelie","Adelie","FEMALE"
"174","Dream",34.85,17.45,191.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"175","Torgersen",37.75,17.35,187,3400,"FEMALE","Adelie","Adelie","FEMALE"
"176","Torgersen",39.1,18.1,181.5,3025,"FEMALE","Adelie","Adelie","FEMALE"
"177","Torgersen",38.35,17.35,188,3862.5,"FEMALE","Adelie","Adelie","FEMALE"
"178","Dream",37.15,16.55,189.5,3325,"FEMALE","Adelie","Adelie","FEMALE"
"179","Dream",34.15,16.2,183.5,3300,"FEMALE","Adelie","Adelie","FEMALE"
"180","Torgersen",37.7,18.6,186,3250,"FEMALE","Adelie","Adelie","FEMALE"
"181","Dream",37.75,17.35,186.5,3200,"FEMALE","Adelie","Adelie","FEMALE"
"182","Biscoe",39.2,18,187.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"183","Dream",36.25,17.65,185,3475,"FEMALE","Adelie","Adelie","FEMALE"
"184","Torgersen",38.55,17.4,185,3575,"FEMALE","Adelie","Adelie","FEMALE"
"185","Dream",36.95,16.5,192,3537.5,"FEMALE","Adelie","Adelie","FEMALE"
"186","Torgersen",38.05,18.1,190,3000,"FEMALE","Adelie","Adelie","FEMALE"
"187","Dream",35.6,17.5,193.5,3237.5,"FEMALE","Adelie","Adelie","FEMALE"
"188","Dream",37.3,18.2,200,3325,"FEMALE","Adelie","Adelie","FEMALE"
"189","Torgersen",35.2,18.25,186,3312.5,"FEMALE","Adelie","Adelie","FEMALE"
"190","Dream",37.4,17.35,187.5,3600,"FEMALE","Adelie","Adelie","FEMALE"
"191","Torgersen",38.5,17,186.5,3125,"FEMALE","Adelie","Adelie","FEMALE"
"192","Torgersen",36.1,16.4,190,3362.5,"FEMALE","Adelie","Adelie","FEMALE"
"193","Dream",37.3,17.65,190,3400,"FEMALE","Adelie","Adelie","FEMALE"
"194","Dream",37.25,16.45,187.5,3237.5,"FEMALE","Adelie","Adelie","FEMALE"
"195","Biscoe",36.9,16.2,191,3612.5,"FEMALE","Adelie","Adelie","FEMALE"
"196","Torgersen",39.2,17.6,184,3312.5,"FEMALE","Adelie","Adelie","FEMALE"
"197","Biscoe",39.2,17.3,191.5,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"198","Torgersen",37.65,17.4,189,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"199","Biscoe",37.15,19.8,195.5,3550,"FEMALE","Adelie","Adelie","MALE"
"200","Torgersen",37.9,18.9,191.5,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"201","Torgersen",36.6,17.2,182,3062.5,"FEMALE","Adelie","Adelie","FEMALE"
"202","Torgersen",38.7,16.7,176.5,3037.5,"FEMALE","Adelie","Adelie","FEMALE"
"203","Biscoe",34.85,18.5,188.5,3650,"FEMALE","Adelie","Adelie","FEMALE"
"204","Biscoe",36.1,18.4,185.5,3400,"FEMALE","Adelie","Adelie","FEMALE"
"205","Biscoe",38.15,16.85,190.5,3125,"FEMALE","Adelie","Adelie","FEMALE"
"206","Biscoe",36.2,17.75,183.5,3337.5,"FEMALE","Adelie","Adelie","FEMALE"
"207","Torgersen",35.6,16.85,190,3450,"FEMALE","Adelie","Adelie","FEMALE"
"208","Biscoe",39.85,17.95,183,3500,"FEMALE","Adelie","Adelie","FEMALE"
"209","Dream",39.85,18.2,185.5,3275,"FEMALE","Adelie","Adelie","FEMALE"
"210","Biscoe",34.8,16.8,184,3362.5,"FEMALE","Adelie","Adelie","FEMALE"
"211","Torgersen",39.5,18.35,191,3325,"FEMALE","Adelie","Adelie","FEMALE"
"212","Biscoe",40.9,17.05,190,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"213","Biscoe",34,18.35,189,3375,"FEMALE","Adelie","Adelie","FEMALE"
"214","Dream",36.2,18.25,184,3187.5,"FEMALE","Adelie","Adelie","FEMALE"
"215","Dream",37,17.45,187,3400,"FEMALE","Adelie","Adelie","FEMALE"
"216","Biscoe",36.35,17.7,188.5,3487.5,"FEMALE","Adelie","Adelie","FEMALE"
"217","Biscoe",36.1,17.6,182.5,3325,"FEMALE","Adelie","Adelie","FEMALE"
"218","Biscoe",38.15,16.95,188,3300,"FEMALE","Adelie","Adelie","FEMALE"
"219","Torgersen",35.75,17.7,190,3425,"FEMALE","Adelie","Adelie","FEMALE"
"220","Dream",37.5,19.25,191.5,3025,"FEMALE","Adelie","Adelie","FEMALE"
"221","Torgersen",36,17.55,184.5,3137.5,"FEMALE","Adelie","Adelie","FEMALE"
"222","Torgersen",36.65,18.45,193,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"223","Biscoe",37.95,17.65,187.5,3525,"FEMALE","Adelie","Adelie","FEMALE"
"224","Biscoe",40.4,17.45,185,3200,"FEMALE","Adelie","Adelie","FEMALE"
"225","Torgersen",36.9,19.3,185,3550,"FEMALE","Adelie","Adelie","MALE"
"226","Biscoe",36.4,17,187,3625,"FEMALE","Adelie","Adelie","FEMALE"
"227","Torgersen",38.75,18.4,186.5,2900,"FEMALE","Adelie","Adelie","FEMALE"
"228","Dream",36.55,16.8,191,3400,"FEMALE","Adelie","Adelie","FEMALE"
"229","Biscoe",37.75,17.1,189.5,3100,"FEMALE","Adelie","Adelie","FEMALE"
"230","Torgersen",36.3,17.7,185.5,3075,"FEMALE","Adelie","Adelie","FEMALE"
"231","Torgersen",36.2,17.85,186,3275,"FEMALE","Adelie","Adelie","FEMALE"
"232","Dream",37.3,18.1,190.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"233","Biscoe",39.1,17.9,185,3275,"FEMALE","Adelie","Adelie","FEMALE"
"234","Biscoe",38.1,17.4,192.5,3512.5,"FEMALE","Adelie","Adelie","FEMALE"
"235","Torgersen",37.7,18.3,181.5,3675,"FEMALE","Adelie","Adelie","FEMALE"
"236","Dream",36.65,18.25,189,3500,"FEMALE","Adelie","Adelie","FEMALE"
"237","Torgersen",37.15,18.15,192,3225,"FEMALE","Adelie","Adelie","FEMALE"
"238","Biscoe",36,16.65,188.5,3150,"FEMALE","Adelie","Adelie","FEMALE"
"239","Torgersen",38.3,17.7,187.5,3325,"FEMALE","Adelie","Adelie","FEMALE"
"240","Dream",38.25,17.7,188,3325,"FEMALE","Adelie","Adelie","FEMALE"
"241","Biscoe",35.5,16.55,187.5,3625,"FEMALE","Adelie","Adelie","FEMALE"
"242","Dream",37.35,18.55,187,3125,"FEMALE","Adelie","Adelie","FEMALE"
"243","Biscoe",38.6,17.5,187.5,3450,"FEMALE","Adelie","Adelie","FEMALE"
"244","Torgersen",39.75,17.85,192,3025,"FEMALE","Adelie","Adelie","FEMALE"
"245","Biscoe",36.2,16.35,197,3650,"FEMALE","Adelie","Adelie","FEMALE"
"246","Torgersen",37,17.2,188.5,3587.5,"FEMALE","Adelie","Adelie","FEMALE"
"247","Dream",37.75,17.25,189,3337.5,"FEMALE","Adelie","Adelie","FEMALE"
"248","Biscoe",35.55,18.9,181.5,3600,"FEMALE","Adelie","Adelie","FEMALE"
"249","Dream",40.05,17.4,187,3462.5,"FEMALE","Adelie","Adelie","FEMALE"
"250","Torgersen",38.1,18.8,196,3400,"FEMALE","Adelie","Adelie","FEMALE"
"251","Torgersen",37.85,18.1,194.5,3475,"FEMALE","Adelie","Adelie","FEMALE"
"252","Torgersen",36.6,17.8,190.5,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"253","Torgersen",35.7,17.4,184.5,3712.5,"FEMALE","Adelie","Adelie","FEMALE"
"254","Dream",38.05,17.3,182,3100,"FEMALE","Adelie","Adelie","FEMALE"
"255","Torgersen",36.65,18.15,193,3550,"FEMALE","Adelie","Adelie","FEMALE"
"256","Dream",36.35,16.65,191,3487.5,"FEMALE","Adelie","Adelie","FEMALE"
"257","Torgersen",32.8,18.1,195,3362.5,"FEMALE","Adelie","Adelie","FEMALE"
"258","Biscoe",35.65,17.8,192.5,3412.5,"FEMALE","Adelie","Adelie","FEMALE"
"259","Torgersen",39.5,17.7,186,3300,"FEMALE","Adelie","Adelie","FEMALE"
"260","Torgersen",35.6,18.85,185.5,3450,"FEMALE","Adelie","Adelie","FEMALE"
"261","Dream",38.85,17.8,191,3450,"FEMALE","Adelie","Adelie","FEMALE"
"262","Dream",37.8,17.75,188,3287.5,"FEMALE","Adelie","Adelie","FEMALE"
"263","Dream",36.75,17.05,189,3487.5,"FEMALE","Adelie","Adelie","FEMALE"
"264","Biscoe",37.55,17.05,185.5,3800,"FEMALE","Adelie","Adelie","FEMALE"
"265","Biscoe",34.7,18.25,192.5,3175,"FEMALE","Adelie","Adelie","FEMALE"
"266","Biscoe",36.65,17.75,181.5,3500,"FEMALE","Adelie","Adelie","FEMALE"
"267","Torgersen",37.8,16.75,181.5,3100,"FEMALE","Adelie","Adelie","FEMALE"
"268","Torgersen",36.35,17.9,180,3575,"FEMALE","Adelie","Adelie","FEMALE"
"269","Torgersen",37.2,17.4,182,3262.5,"FEMALE","Adelie","Adelie","FEMALE"
"270","Biscoe",38.9,17.5,188.5,3300,"FEMALE","Adelie","Adelie","FEMALE"
"271","Dream",37.85,17,183.5,3537.5,"FEMALE","Adelie","Adelie","FEMALE"
"272","Biscoe",37.9,18.15,185,3275,"FEMALE","Adelie","Adelie","FEMALE"
"273","Biscoe",36.05,18.45,187.5,3150,"FEMALE","Adelie","Adelie","FEMALE"
"274","Biscoe",37.4,17.75,188.5,3425,"FEMALE","Adelie","Adelie","FEMALE"
"275","Dream",37.7,17.1,188,3325,"FEMALE","Adelie","Adelie","FEMALE"
"276","Dream",35.7,16.85,182.5,3675,"FEMALE","Adelie","Adelie","FEMALE"
"277","Torgersen",37.2,17.6,179.5,3375,"FEMALE","Adelie","Adelie","FEMALE"
"278","Torgersen",35.85,17.8,189,3500,"FEMALE","Adelie","Adelie","FEMALE"
"279","Torgersen",35.6,17.45,188,3300,"FEMALE","Adelie","Adelie","FEMALE"
"280","Dream",38.95,17.65,186.5,3200,"FEMALE","Adelie","Adelie","FEMALE"
"281","Biscoe",38.15,17.9,189,3212.5,"FEMALE","Adelie","Adelie","FEMALE"
"282","Torgersen",38.3,17.7,186,3025,"FEMALE","Adelie","Adelie","FEMALE"
"283","Torgersen",36.9,19.35,183.5,3450,"FEMALE","Adelie","Adelie","MALE"
"284","Biscoe",35.75,16.85,192.5,3500,"FEMALE","Adelie","Adelie","FEMALE"
"285","Biscoe",35.8,19.25,190,3400,"FEMALE","Adelie","Adelie","MALE"
"286","Biscoe",35.7,16.15,191.5,3762.5,"FEMALE","Adelie","Adelie","FEMALE"
"287","Torgersen",38.35,16.6,185,3450,"FEMALE","Adelie","Adelie","FEMALE"
"288","Biscoe",38.1,17.95,186,3500,"FEMALE","Adelie","Adelie","FEMALE"
"289","Torgersen",36.6,18.7,193.5,3487.5,"FEMALE","Adelie","Adelie","FEMALE"
"290","Biscoe",38.25,18.65,191,3150,"FEMALE","Adelie","Adelie","FEMALE"
"291","Biscoe",36.35,17.1,187,3750,"FEMALE","Adelie","Adelie","FEMALE"
"292","Biscoe",34.3,18.25,194,2912.5,"FEMALE","Adelie","Adelie","FEMALE"
"293","Torgersen",35.25,16.7,184.5,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"294","Dream",38.25,16.65,188.5,3375,"FEMALE","Adelie","Adelie","FEMALE"
"295","Torgersen",37.05,17.3,186,3387.5,"FEMALE","Adelie","Adelie","FEMALE"
"296","Biscoe",36.15,17.45,186,3475,"FEMALE","Adelie","Adelie","FEMALE"
"297","Torgersen",39.5,16.55,192.5,3200,"FEMALE","Adelie","Adelie","FEMALE"
