"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species"
"86","Dream",35.45,16.85,181,3412.5,"FEMALE","Adelie"
"87","Dream",34.55,16,188.5,2987.5,"FEMALE","Adelie"
"88","Biscoe",35.5,16.45,187,3250,"FEMALE","Adelie"
"89","Biscoe",39.2,17.95,193,3625,"FEMALE","Adelie"
"90","Torgersen",40.85,17.85,192.5,3287.5,"FEMALE","Adelie"
"91","Biscoe",36.2,17.35,185,3587.5,"FEMALE","Adelie"
"92","Dream",35.6,17.5,182.5,3650,"FEMALE","Adelie"
"93","Biscoe",38.7,18.25,192.5,3425,"FEMALE","Adelie"
"94","Torgersen",37.55,18.25,189.5,3462.5,"FEMALE","Adelie"
"95","Biscoe",35.65,17.25,188.5,3300,"FEMALE","Adelie"
"96","Torgersen",35.15,17.35,191,3125,"FEMALE","Adelie"
"97","Torgersen",37.15,18.7,183,3587.5,"FEMALE","Adelie"
"98","Biscoe",39.2,18.7,186,3275,"FEMALE","Adelie"
"99","Biscoe",38.7,17.45,189.5,3437.5,"FEMALE","Adelie"
"100","Dream",35.9,17.7,182.5,3650,"FEMALE","Adelie"
"101","Torgersen",37.35,17.8,187,3762.5,"FEMALE","Adelie"
"102","Torgersen",38.2,18.6,194,3325,"FEMALE","Adelie"
"103","Biscoe",37.2,17.15,195.5,3375,"FEMALE","Adelie"
"104","Dream",36.45,18.1,185.5,3325,"FEMALE","Adelie"
"105","Dream",35.2,17.5,188,3362.5,"FEMALE","Adelie"
"106","Dream",36.15,17.35,187,3725,"FEMALE","Adelie"
"107","Torgersen",36.65,17.75,183.5,3662.5,"FEMALE","Adelie"
"108","Torgersen",39.55,18,196,3725,"FEMALE","Adelie"
"109","Dream",36.2,18.3,190.5,3225,"FEMALE","Adelie"
"110","Dream",37,17.2,182.5,3400,"FEMALE","Adelie"
"111","Torgersen",36.15,16.5,185,3275,"FEMALE","Adelie"
"112","Torgersen",37.6,18,193,3600,"FEMALE","Adelie"
"113","Biscoe",37.85,17.4,187.5,3400,"FEMALE","Adelie"
"114","Torgersen",37.05,17.3,190,3300,"FEMALE","Adelie"
"115","Dream",37,18.2,187.5,3112.5,"FEMALE","Adelie"
"116","Torgersen",39.2,16.9,185.5,3275,"FEMALE","Adelie"
"117","Dream",36.1,17.65,192,3275,"FEMALE","Adelie"
"118","Biscoe",36.25,16.8,188.5,3600,"FEMALE","Adelie"
"119","Dream",38,17.15,196,3625,"FEMALE","Adelie"
"120","Torgersen",37.4,18.3,186,3350,"FEMALE","Adelie"
"121","Torgersen",36,16.85,186.5,3350,"FEMALE","Adelie"
"122","Torgersen",33.95,18.1,188,3350,"FEMALE","Adelie"
"123","Biscoe",37.6,18,188.5,3400,"FEMALE","Adelie"
"124","Biscoe",37.4,17.65,191.5,2925,"FEMALE","Adelie"
"125","Torgersen",34.9,17.55,192,3387.5,"FEMALE","Adelie"
"126","Dream",38.55,17.8,186.5,3500,"FEMALE","Adelie"
"127","Dream",37.9,16.9,184.5,3112.5,"FEMALE","Adelie"
"128","Torgersen",35.7,17.75,186,3250,"FEMALE","Adelie"
"129","Dream",37.7,17.65,191,3237.5,"FEMALE","Adelie"
"130","Dream",34.55,18.05,185,3637.5,"FEMALE","Adelie"
"131","Torgersen",35.3,17.95,192,3162.5,"FEMALE","Adelie"
"132","Dream",36.25,17.6,190.5,3112.5,"FEMALE","Adelie"
"133","Dream",39.2,17.8,188,3425,"FEMALE","Adelie"
"134","Torgersen",38.1,16.55,190,3187.5,"FEMALE","Adelie"
"135","Dream",37.6,17.65,190,3462.5,"FEMALE","Adelie"
"136","Dream",35.05,17.25,186,3287.5,"FEMALE","Adelie"
"137","Biscoe",35.45,17.9,182,3800,"FEMALE","Adelie"
"138","Dream",38.05,16.85,194,3400,"FEMALE","Adelie"
"139","Dream",37.25,17.55,187,3475,"FEMALE","Adelie"
"140","Biscoe",35.95,18.4,186,3375,"FEMALE","Adelie"
"141","Biscoe",38.4,18.9,189,3475,"FEMALE","Adelie"
"142","Dream",35.6,17.2,197,3550,"FEMALE","Adelie"
"143","Torgersen",36.8,18.1,190.5,3312.5,"FEMALE","Adelie"
"144","Torgersen",37.1,18.4,181,3662.5,"FEMALE","Adelie"
"145","Dream",38.25,18.2,187,3387.5,"FEMALE","Adelie"
"146","Biscoe",35,16.75,188.5,3537.5,"FEMALE","Adelie"
"147","Dream",39.2,18.15,185.5,3225,"FEMALE","Adelie"
"148","Biscoe",35.6,17.1,189.5,3650,"FEMALE","Adelie"
"149","Torgersen",34.85,17.85,186,3725,"FEMALE","Adelie"
"150","Dream",40.3,18.15,178.5,3300,"FEMALE","Adelie"
"151","Biscoe",35.6,17.3,186,3400,"FEMALE","Adelie"
"152","Dream",36.6,16.9,191,3575,"FEMALE","Adelie"
"153","Torgersen",35.5,18.3,189,3525,"FEMALE","Adelie"
"154","Biscoe",36.25,18,184,3012.5,"FEMALE","Adelie"
"155","Torgersen",38.95,17.75,188.5,3375,"FEMALE","Adelie"
"156","Biscoe",35.5,16.05,177,3250,"FEMALE","Adelie"
"157","Dream",38.4,17.45,194.5,3800,"FEMALE","Adelie"
"158","Biscoe",38.3,17.55,190,3300,"FEMALE","Adelie"
"159","Biscoe",36.8,17.5,196,3112.5,"FEMALE","Adelie"
"160","Dream",34.75,17.25,189.5,3025,"FEMALE","Adelie"
"161","Biscoe",35.75,16.75,184,3100,"FEMALE","Adelie"
"162","Torgersen",35.95,16.8,188,3562.5,"FEMALE","Adelie"
"163","Torgersen",37.6,18.05,192,3500,"FEMALE","Adelie"
"164","Dream",38.05,17.1,187.5,3475,"FEMALE","Adelie"
"165","Dream",35.4,16.8,191.5,3075,"FEMALE","Adelie"
"166","Dream",37.45,18.2,190,3425,"FEMALE","Adelie"
"167","Biscoe",37.4,16.95,191,3450,"FEMALE","Adelie"
"168","Torgersen",38.1,18.65,183.5,3587.5,"FEMALE","Adelie"
"169","Torgersen",34.05,17.45,193,3262.5,"FEMALE","Adelie"
"170","Dream",36.8,17.8,191.5,3025,"FEMALE","Adelie"
"171","Dream",40,17.45,187,3712.5,"FEMALE","Adelie"
"172","Dream",39.9,16.85,185.5,3125,"FEMALE","Adelie"
"173","Dream",36.05,18.4,191,3525,"FEMALE","Adelie"
"174","Dream",39.2,19.15,187,3262.5,"FEMALE","Adelie"
"175","Torgersen",38.55,17.7,186.5,3250,"FEMALE","Adelie"
"176","Torgersen",37.45,16.9,185.5,3200,"FEMALE","Adelie"
"177","Dream",36.2,16.75,189.5,3562.5,"FEMALE","Adelie"
"178","Biscoe",34.95,17.3,182.5,3225,"FEMALE","Adelie"
"179","Torgersen",38.15,18.1,191,3450,"FEMALE","Adelie"
"180","Biscoe",37.15,17.95,185.5,3612.5,"FEMALE","Adelie"
"181","Biscoe",37.95,17.35,187.5,3350,"FEMALE","Adelie"
"182","Dream",34.9,18,186,3125,"FEMALE","Adelie"
"183","Biscoe",36.75,17.85,194,3225,"FEMALE","Adelie"
"184","Dream",38.7,17.7,188.5,3125,"FEMALE","Adelie"
"185","Dream",38.05,18.35,179.5,3287.5,"FEMALE","Adelie"
"186","Dream",33.9,17.4,182.5,3250,"FEMALE","Adelie"
"187","Dream",37.35,17,188,3625,"FEMALE","Adelie"
"188","Dream",38.3,18.4,188,3437.5,"FEMALE","Adelie"
"189","Torgersen",36.8,17,185.5,3050,"FEMALE","Adelie"
"190","Biscoe",37.15,18.5,188,3175,"FEMALE","Adelie"
"191","Dream",37.05,17.35,178.5,3562.5,"FEMALE","Adelie"
"192","Dream",37.75,17,190,3637.5,"FEMALE","Adelie"
"193","Biscoe",35.75,17.05,178,3200,"FEMALE","Adelie"
"194","Biscoe",37.55,17.95,187.5,3125,"FEMALE","Adelie"
"195","Dream",37.15,16.35,189,3325,"FEMALE","Adelie"
"196","Dream",36.8,17.6,183.5,3437.5,"FEMALE","Adelie"
"197","Dream",36.2,17.85,189.5,3425,"FEMALE","Adelie"
"198","Dream",38.35,18.15,189.5,3375,"FEMALE","Adelie"
"199","Dream",37.35,16.95,189.5,3037.5,"FEMALE","Adelie"
"200","Dream",36.45,18.7,192,3600,"FEMALE","Adelie"
"201","Torgersen",38.95,17.5,185,3650,"FEMALE","Adelie"
"202","Biscoe",35.55,17,187,3350,"FEMALE","Adelie"
"203","Torgersen",38.6,17.2,191,3250,"FEMALE","Adelie"
"204","Dream",37.7,18.05,188,3500,"FEMALE","Adelie"
"205","Dream",37.55,17.65,186.5,3450,"FEMALE","Adelie"
"206","Dream",36.05,17.4,192,3437.5,"FEMALE","Adelie"
"207","Dream",37.1,17,187,3500,"FEMALE","Adelie"
"208","Torgersen",36.7,18.1,187.5,3400,"FEMALE","Adelie"
"209","Dream",37.45,17.9,184,3175,"FEMALE","Adelie"
"210","Torgersen",36.3,17.7,180.5,3225,"FEMALE","Adelie"
"211","Torgersen",36.85,18.05,185,3237.5,"FEMALE","Adelie"
"212","Dream",35.95,17.5,192.5,3325,"FEMALE","Adelie"
"213","Torgersen",35.6,17.1,190,3262.5,"FEMALE","Adelie"
"214","Biscoe",35.6,17.9,191.5,3175,"FEMALE","Adelie"
"215","Torgersen",37.7,18.35,190.5,3725,"FEMALE","Adelie"
"216","Torgersen",36.7,17.5,177,3662.5,"FEMALE","Adelie"
"217","Dream",35.75,18.25,192,3500,"FEMALE","Adelie"
"218","Dream",35.65,17.7,190.5,2950,"FEMALE","Adelie"
"219","Dream",36.5,17.45,190.5,3187.5,"FEMALE","Adelie"
"220","Biscoe",34.85,18.8,196,3700,"FEMALE","Adelie"
"221","Dream",37.75,17.75,192,3525,"FEMALE","Adelie"
"222","Biscoe",39.2,17.85,188,3000,"FEMALE","Adelie"
"223","Dream",34.6,17.25,189,3625,"FEMALE","Adelie"
"224","Biscoe",36.9,17.35,190,3200,"FEMALE","Adelie"
"225","Torgersen",36.05,17.55,193,3200,"FEMALE","Adelie"
"226","Biscoe",35.7,17.85,185.5,3400,"FEMALE","Adelie"
"227","Dream",37.15,17.5,192,3625,"FEMALE","Adelie"
"228","Dream",38.75,18.55,197.5,3450,"FEMALE","Adelie"
"229","Biscoe",37,17.9,187.5,3225,"FEMALE","Adelie"
"230","Torgersen",37.35,17.65,192.5,3687.5,"FEMALE","Adelie"
"231","Biscoe",36.8,18.35,192,3025,"FEMALE","Adelie"
"232","Biscoe",39.6,17.75,188.5,3475,"FEMALE","Adelie"
"233","Dream",36.5,17.05,190,3275,"FEMALE","Adelie"
"234","Torgersen",38.45,17.4,189,3087.5,"FEMALE","Adelie"
"235","Biscoe",35,17.25,195,3325,"FEMALE","Adelie"
"236","Torgersen",38.05,17.6,186.5,3225,"FEMALE","Adelie"
"237","Biscoe",37.55,16.15,188,3437.5,"FEMALE","Adelie"
"238","Torgersen",36.4,17.05,186,3050,"FEMALE","Adelie"
"239","Dream",39,17.65,181,3762.5,"FEMALE","Adelie"
"240","Dream",37.4,18.3,190,3112.5,"FEMALE","Adelie"
"241","Biscoe",37.75,17.8,183.5,3350,"FEMALE","Adelie"
"242","Biscoe",35,17.35,192.5,3362.5,"FEMALE","Adelie"
"243","Torgersen",40.15,17.5,189.5,3150,"FEMALE","Adelie"
"244","Torgersen",39.05,19.05,192,3375,"FEMALE","Adelie"
"245","Torgersen",36.75,17.55,181.5,3562.5,"FEMALE","Adelie"
"246","Dream",35.35,17.4,186.5,3437.5,"FEMALE","Adelie"
"247","Biscoe",37.7,17.95,191.5,3475,"FEMALE","Adelie"
"248","Biscoe",36.55,18.05,188.5,3275,"FEMALE","Adelie"
"249","Dream",36.55,17.2,190,3425,"FEMALE","Adelie"
"250","Dream",39.05,18.45,187,3112.5,"FEMALE","Adelie"
"251","Torgersen",37.45,18.1,192,3800,"FEMALE","Adelie"
"252","Torgersen",36.85,17.1,188,2975,"FEMALE","Adelie"
"253","Biscoe",37.05,16.65,189.5,3725,"FEMALE","Adelie"
"254","Torgersen",37.95,16.95,185,3350,"FEMALE","Adelie"
"255","Dream",38.2,17.1,188,3437.5,"FEMALE","Adelie"
"256","Torgersen",35.05,16.9,192.5,3200,"FEMALE","Adelie"
"257","Torgersen",36.55,17.95,186,3300,"FEMALE","Adelie"
"258","Torgersen",38.3,18.3,183.5,3200,"FEMALE","Adelie"
"259","Biscoe",37.6,18,176.5,3475,"FEMALE","Adelie"
"260","Torgersen",38.75,17,195,3225,"FEMALE","Adelie"
"261","Biscoe",37.9,17.2,194,3125,"FEMALE","Adelie"
"262","Torgersen",38.9,18,192,3075,"FEMALE","Adelie"
"263","Biscoe",36.65,18.45,187.5,3125,"FEMALE","Adelie"
"264","Biscoe",35.25,18,182.5,3175,"FEMALE","Adelie"
"265","Biscoe",36.6,17.2,180.5,3400,"FEMALE","Adelie"
"266","Biscoe",37.8,16.2,183,3450,"FEMALE","Adelie"
"267","Torgersen",37.6,17.45,191.5,3662.5,"FEMALE","Adelie"
"268","Biscoe",34.5,18.85,189,3300,"FEMALE","Adelie"
"269","Torgersen",34.05,17.9,192,3062.5,"FEMALE","Adelie"
"270","Torgersen",36.3,17,183.5,3125,"FEMALE","Adelie"
"271","Biscoe",36.65,17.75,187,3025,"FEMALE","Adelie"
"272","Dream",35.45,17.2,193.5,2950,"FEMALE","Adelie"
"273","Torgersen",37.4,18,185.5,3675,"FEMALE","Adelie"
"274","Biscoe",34.25,18.9,185,3400,"FEMALE","Adelie"
"275","Biscoe",37,17.4,185.5,3512.5,"FEMALE","Adelie"
"276","Biscoe",35.2,17.4,187,3187.5,"FEMALE","Adelie"
"277","Biscoe",36.3,16.6,191,3412.5,"FEMALE","Adelie"
"278","Biscoe",38.2,17.25,181.5,3450,"FEMALE","Adelie"
"279","Biscoe",37.25,16.8,183.5,3475,"FEMALE","Adelie"
"280","Biscoe",38.35,17,189,3525,"FEMALE","Adelie"
"281","Torgersen",36.45,16.95,186.5,3362.5,"FEMALE","Adelie"
"282","Torgersen",38.5,17.4,194.5,3387.5,"FEMALE","Adelie"
"283","Biscoe",36.25,18.35,180.5,3375,"FEMALE","Adelie"
"284","Biscoe",37.7,17.95,187,3175,"FEMALE","Adelie"
"285","Torgersen",39.15,17.4,193,3400,"FEMALE","Adelie"
"286","Biscoe",40.25,17.45,198.5,2875,"FEMALE","Adelie"
"287","Biscoe",35.4,16.9,187,3425,"FEMALE","Adelie"
"288","Dream",40.35,17.85,191.5,3150,"FEMALE","Adelie"
"289","Torgersen",36.25,17.6,191.5,3425,"FEMALE","Adelie"
"290","Dream",35.25,17.3,185,3375,"FEMALE","Adelie"
"291","Torgersen",34.5,17.15,189.5,3750,"FEMALE","Adelie"
"292","Dream",34.95,18.45,195,3162.5,"FEMALE","Adelie"
"293","Dream",35.85,17.2,184.5,3412.5,"FEMALE","Adelie"
"294","Dream",35.2,17.3,191,3400,"FEMALE","Adelie"
"295","Torgersen",37.15,18.55,188,3575,"FEMALE","Adelie"
"296","Biscoe",39.05,17.85,193,3300,"FEMALE","Adelie"
"297","Torgersen",36.2,17.85,190.5,3300,"FEMALE","Adelie"
"298","Dream",39.95,17.55,191,3400,"FEMALE","Adelie"
"299","Dream",36.65,16.85,190.5,3712.5,"FEMALE","Adelie"
"300","Dream",40.4,18.3,189,3625,"FEMALE","Adelie"
"301","Dream",36.65,17.5,187,3600,"FEMALE","Adelie"
"302","Dream",37.5,19.1,190.5,3375,"FEMALE","Adelie"
"303","Dream",35.75,17.1,183,3275,"FEMALE","Adelie"
"304","Dream",37.8,17.35,184,3225,"FEMALE","Adelie"
"305","Torgersen",37.55,17.3,189.5,3275,"FEMALE","Adelie"
"306","Dream",40.7,17.3,190,3037.5,"FEMALE","Adelie"
"307","Torgersen",36.95,18,192.5,3125,"FEMALE","Adelie"
"308","Biscoe",37.25,16.95,189.5,3475,"FEMALE","Adelie"
"309","Dream",36.95,18.75,190.5,3625,"FEMALE","Adelie"
"310","Torgersen",37.85,19.05,184.5,3587.5,"FEMALE","Adelie"
"311","Biscoe",36.95,17.65,188.5,3525,"FEMALE","Adelie"
"312","Dream",36.95,18.05,185.5,3337.5,"FEMALE","Adelie"
"313","Biscoe",36.35,17.2,190,3762.5,"FEMALE","Adelie"
"314","Torgersen",36.05,19.6,192.5,3100,"FEMALE","Adelie"
"315","Torgersen",36.65,16.35,186,3250,"FEMALE","Adelie"
"316","Dream",39,17.95,183.5,3325,"FEMALE","Adelie"
"317","Torgersen",37.1,17.8,188,3637.5,"FEMALE","Adelie"
"318","Biscoe",36.3,17.3,188.5,3362.5,"FEMALE","Adelie"
"319","Torgersen",37.55,17.95,190.5,3262.5,"FEMALE","Adelie"
"320","Dream",35.45,18.1,184,3275,"FEMALE","Adelie"
"321","Biscoe",35.95,17.75,187,3437.5,"FEMALE","Adelie"
"322","Torgersen",37.1,17.55,190.5,3437.5,"FEMALE","Adelie"
"323","Dream",37.6,17.55,191,3375,"FEMALE","Adelie"
"324","Biscoe",36.7,17.85,190.5,3200,"FEMALE","Adelie"
"325","Dream",36.05,18.9,178.5,3312.5,"FEMALE","Adelie"
"326","Torgersen",36.55,17.75,190.5,3400,"FEMALE","Adelie"
"327","Dream",35.15,18.2,186,3300,"FEMALE","Adelie"
"328","Biscoe",39.45,17.9,189.5,3300,"FEMALE","Adelie"
"329","Biscoe",35.1,17.1,183.5,3425,"FEMALE","Adelie"
"330","Torgersen",38.65,17.35,192,3400,"FEMALE","Adelie"
"331","Biscoe",36.5,17.6,189.5,3362.5,"FEMALE","Adelie"
"332","Torgersen",37.25,16.85,186.5,3150,"FEMALE","Adelie"
"333","Dream",38,17.9,188.5,3375,"FEMALE","Adelie"
"334","Biscoe",38.05,18,190,3275,"FEMALE","Adelie"
"335","Biscoe",36.35,17.95,183,3100,"FEMALE","Adelie"
"336","Biscoe",35.4,16.8,182,3500,"FEMALE","Adelie"
"337","Dream",37.3,17.1,192,3750,"FEMALE","Adelie"
"338","Dream",38.4,18,190,3575,"FEMALE","Adelie"
"339","Dream",40.9,18.3,182.5,3200,"FEMALE","Adelie"
"340","Dream",35.25,17.5,187,3475,"FEMALE","Adelie"
"341","Dream",37.55,16.95,192.5,3637.5,"FEMALE","Adelie"
"342","Dream",38,17.85,188,3175,"FEMALE","Adelie"
"343","Torgersen",38.3,17.7,194,3062.5,"FEMALE","Adelie"
"344","Torgersen",36.85,18.45,180.5,3325,"FEMALE","Adelie"
"345","Dream",36.25,18.6,192,3475,"FEMALE","Adelie"
"346","Torgersen",35.1,16.35,196.5,3437.5,"FEMALE","Adelie"
"347","Dream",34.4,18.1,191,3650,"FEMALE","Adelie"
"348","Biscoe",37.85,17.7,191.5,3362.5,"FEMALE","Adelie"
"349","Torgersen",37.5,18.15,180,3312.5,"FEMALE","Adelie"
"350","Dream",38.1,17.65,190.5,3800,"FEMALE","Adelie"
"351","Dream",38.3,16.9,187,3275,"FEMALE","Adelie"
"352","Dream",37.9,17.6,182.5,3375,"FEMALE","Adelie"
"353","Torgersen",37.85,17.6,187.5,3525,"FEMALE","Adelie"
"354","Torgersen",37.75,17.7,188,3050,"FEMALE","Adelie"
"355","Dream",35.15,16.6,184.5,3350,"FEMALE","Adelie"
"356","Biscoe",36.95,18.65,194.5,2975,"FEMALE","Adelie"
"357","Biscoe",36.9,17.65,183.5,3625,"FEMALE","Adelie"
"358","Torgersen",36.2,17.85,186.5,3537.5,"FEMALE","Adelie"
"359","Dream",36.85,17.25,187.5,3100,"FEMALE","Adelie"
"360","Torgersen",37.15,16.95,190,3550,"FEMALE","Adelie"
"361","Dream",37.75,17.35,184,3325,"FEMALE","Adelie"
"362","Dream",35.7,18,183,3437.5,"FEMALE","Adelie"
"363","Dream",36.15,16.65,196.5,3250,"FEMALE","Adelie"
"364","Torgersen",37.8,18.2,183,3500,"FEMALE","Adelie"
"365","Dream",37.75,17.55,184,3262.5,"FEMALE","Adelie"
"366","Torgersen",35.75,18.5,188.5,3225,"FEMALE","Adelie"
"367","Dream",36.65,18.1,188,3650,"FEMALE","Adelie"
"368","Torgersen",35.25,16.3,186.5,3325,"FEMALE","Adelie"
"369","Torgersen",35.3,17.3,190,3475,"FEMALE","Adelie"
"370","Biscoe",40.25,18.9,188,3237.5,"FEMALE","Adelie"
"371","Torgersen",38,17.5,188,3575,"FEMALE","Adelie"
"372","Torgersen",37.4,17.2,192.5,3175,"FEMALE","Adelie"
"373","Dream",38.1,17.95,191.5,3325,"FEMALE","Adelie"
"374","Torgersen",38.55,17.55,186,3237.5,"FEMALE","Adelie"
"375","Dream",39.55,17.8,189,3125,"FEMALE","Adelie"
"376","Torgersen",37.55,17.75,188,3525,"FEMALE","Adelie"
"377","Torgersen",36.6,18.15,180.5,3437.5,"FEMALE","Adelie"
"378","Biscoe",36.8,16.95,186,3575,"FEMALE","Adelie"
"379","Torgersen",37.3,17.1,183,3662.5,"FEMALE","Adelie"
"380","Biscoe",34.25,18.75,185,3125,"FEMALE","Adelie"
"381","Dream",38.3,18.05,193.5,3425,"FEMALE","Adelie"
"382","Biscoe",35.8,16.6,189,3200,"FEMALE","Adelie"
"383","Dream",38.3,17.65,187.5,3012.5,"FEMALE","Adelie"
"384","Torgersen",38.3,17.7,186.5,3475,"FEMALE","Adelie"
"385","Biscoe",36.9,17.1,184,3425,"FEMALE","Adelie"
"386","Dream",35.15,18.25,190,3550,"FEMALE","Adelie"
"387","Torgersen",37.55,17,190,3250,"FEMALE","Adelie"
"388","Dream",35.8,17.05,190,3575,"FEMALE","Adelie"
"389","Dream",36.25,17.75,185.5,3100,"FEMALE","Adelie"
"390","Biscoe",39.05,16.75,190,3425,"FEMALE","Adelie"
